Format Version,1.24,Take Name,Ball_Throw_006,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2025-01-26 06.39.35.123 PM,Capture Start Frame,1398856,Total Frames in Take,1168,Total Exported Frames,1168,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.200000,-0.003337,-0.700109,-0.005782,0.714004,-611.206482,11.014185,605.202881,-643.012634,11.170077,663.839233,-658.765747,11.658207,543.212952,-567.735229,10.598438,543.916687,-575.322876,10.548988,669.926575,-643.235291,11.106393,663.842224,-659.020142,11.714362,543.436462,-567.292908,10.539963,543.925659,-575.248840,10.611870,669.710388,,,,,,,,,,,,,,,,,,,,,
7,0.233333,-0.003207,-0.700134,-0.005784,0.713981,-611.210510,11.019629,605.194031,-643.020752,11.158795,663.828247,-658.765686,11.666747,543.200989,-567.735046,10.623200,543.910767,-575.331299,10.548725,669.920166,-643.242920,11.087948,663.827332,-659.027710,11.729048,543.429565,-567.283752,10.558650,543.916138,-575.258301,10.618299,669.707886,,,,,,,,,,,,,,,,,,,,,
8,0.266667,-0.003265,-0.700274,-0.005895,0.713842,-611.253662,11.013371,605.182617,-643.087036,11.156108,663.804260,-658.784180,11.676222,543.170837,-567.754089,10.610756,543.916443,-575.400085,10.529351,669.922852,-643.268860,11.100335,663.804138,-659.048584,11.728334,543.421326,-567.289612,10.556498,543.923096,-575.370850,10.586790,669.691345,,,,,,,,,,,,,,,,,,,,,
9,0.300000,-0.003685,-0.700083,-0.005984,0.714027,-611.274231,10.982504,605.179932,-643.075989,11.175541,663.818542,-658.837524,11.650198,543.193298,-567.807800,10.520004,543.890686,-575.386353,10.503270,669.901123,-643.258545,11.100397,663.833984,-659.052673,11.716264,543.422729,-567.400330,10.452312,543.865234,-575.360046,10.578183,669.697449,,,,,,,,,,,,,,,,,,,,,
10,0.333333,-0.003727,-0.699991,-0.005890,0.714118,-611.237427,11.000709,605.186829,-643.023987,11.202434,663.833679,-658.816772,11.653036,543.212402,-567.786804,10.529908,543.886414,-575.332642,10.536469,669.898865,-643.256287,11.122471,663.838867,-659.037964,11.720962,543.440125,-567.377808,10.460364,543.862671,-575.259949,10.613032,669.705566,,,,,,,,,,,,,,,,,,,,,
11,0.366667,-0.003344,-0.700235,-0.005917,0.713880,-611.227173,11.013944,605.185364,-643.054016,11.165925,663.810547,-658.764343,11.678604,543.178772,-567.734375,10.600204,543.914490,-575.366516,10.529998,669.921753,-643.235657,11.112886,663.809998,-659.021606,11.728067,543.424377,-567.281372,10.548615,543.924316,-575.334961,10.584690,669.690796,,,,,,,,,,,,,,,,,,,,,
12,0.400000,-0.003600,-0.700053,-0.005910,0.714057,-611.223633,10.992050,605.176147,-643.020508,11.176882,663.817444,-658.792236,11.650192,543.193604,-567.762268,10.540424,543.883240,-575.330139,10.519696,669.894348,-643.240417,11.093857,663.816040,-659.019897,11.718263,543.415222,-567.377686,10.452789,543.866333,-575.244385,10.602796,669.702698,,,,,,,,,,,,,,,,,,,,,
13,0.433333,-0.003721,-0.700028,-0.005918,0.714081,-611.239990,11.000767,605.189392,-643.032654,11.200760,663.832886,-658.812866,11.657425,543.210022,-567.783081,10.531460,543.893433,-575.341919,10.532430,669.905151,-643.257751,11.119208,663.835205,-659.037170,11.730186,543.438965,-567.389587,10.451966,543.870972,-575.270142,10.617264,669.719727,,,,,,,,,,,,,,,,,,,,,
14,0.466667,-0.003436,-0.700214,-0.005917,0.713901,-611.259644,11.009754,605.186890,-643.082947,11.173538,663.813965,-658.800476,11.672313,543.183044,-567.770630,10.582374,543.913452,-575.395142,10.529764,669.921143,-643.271118,11.119644,663.818909,-659.056152,11.721581,543.425964,-567.316223,10.533841,543.919678,-575.369202,10.583855,669.688293,,,,,,,,,,,,,,,,,,,,,
15,0.500000,-0.003280,-0.700123,-0.005762,0.713991,-611.217224,11.022311,605.194763,-643.025635,11.171556,663.829834,-658.774109,11.664447,543.203003,-567.743530,10.614637,543.910278,-575.336121,10.557572,669.919861,-643.229919,11.112706,663.824341,-659.043152,11.716446,543.424805,-567.296021,10.558286,543.931396,-575.250366,10.620777,669.708679,,,,,,,,,,,,,,,,,,,,,
