,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 004,FKA-Rigid Body 001_Marker 004,FKA-Rigid Body 001_Marker 004,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030
,ID,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,"A2135C42DBFF11EF597AB3C6E71092B3","A2135C42DBFF11EF597AB3C6E71092B3","A2135C42DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","17F4F921012DBFD11EF","17F4F921012DBFD11EF","17F4F921012DBFD11EF","1804F921012DBFD11EF","1804F921012DBFD11EF","1804F921012DBFD11EF","1814F921012DBFD11EF","1814F921012DBFD11EF","1814F921012DBFD11EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14,0.466667,0.925931,-0.374181,0.047954,-0.018468,-165.359573,110.047974,-40.122021,-120.679146,69.347420,-68.567307,-205.218124,154.015533,-90.121277,-212.997360,151.397095,-1.123842,-122.350815,65.315079,-0.911768,,,,,,,,,
15,0.500000,0.926632,-0.371676,0.053153,-0.019635,-164.374557,109.902718,-37.671440,-119.189590,69.290840,-65.564835,-203.948059,153.635620,-88.262955,-212.725143,151.198242,0.932695,-121.484100,65.453979,2.096697,,,,,,,,,
16,0.533333,0.925571,-0.373804,0.057070,-0.018241,-163.713226,109.290359,-35.022163,-118.638954,68.388779,-62.560635,-202.601791,152.853531,-86.028671,-212.112961,151.064285,3.148082,-121.319450,64.852554,5.347541,,,,,,,,,
17,0.566667,0.925977,-0.371693,0.063026,-0.020969,-162.549118,109.235153,-32.196781,-116.834740,68.393532,-59.139877,-201.005646,152.721115,-83.488632,-211.701096,150.872955,5.250603,-120.492004,65.004654,8.640433,,,,,,,,,
18,0.600000,0.925870,-0.370746,0.069450,-0.022108,-161.914307,108.738976,-29.102617,-115.813919,68.082672,-55.374390,-199.769760,151.902939,-81.111748,-211.485260,150.374741,7.643213,-120.399307,64.603935,12.461246,,,,,,,,,
19,0.633333,0.925852,-0.369525,0.075612,-0.023074,-161.045410,108.328987,-25.975588,-114.609337,67.654869,-51.448997,-198.300858,151.280960,-78.609627,-211.211685,149.961441,10.087112,-119.872391,64.453453,16.082487,,,,,,,,,
20,0.666667,0.925650,-0.368543,0.082253,-0.024149,-160.099533,107.887314,-22.558071,-113.260712,67.142662,-47.340416,-196.787659,150.709763,-75.737328,-210.786026,149.443878,12.486301,-119.382393,64.193108,20.267574,,,,,,,,,
21,0.700000,0.925429,-0.367517,0.089163,-0.023719,-159.107437,107.521782,-18.693279,-111.890732,66.776558,-42.620941,-195.219452,149.929901,-72.688873,-210.180054,149.167297,15.466132,-118.931389,64.100380,24.914713,,,,,,,,,
22,0.733333,0.924589,-0.367937,0.095590,-0.024891,-158.213394,107.111069,-14.907284,-110.764778,66.117783,-38.210510,-193.515549,149.493851,-69.356812,-209.736023,148.915634,18.490431,-118.656311,63.860298,29.365160,,,,,,,,,
23,0.766667,0.924880,-0.364929,0.103622,-0.026217,-157.260651,106.712242,-10.917471,-109.139755,65.966774,-33.311787,-191.993469,148.628418,-66.251938,-209.528763,148.505646,21.683969,-118.224884,63.758804,34.200134,,,,,,,,,
